id_mun;f10;f11;f198;f199;f200;f13;f14;f318;f320;f321;f167;f27;f28;f29;f171;f69;f72;f73;f378;f379;f377;f291;f225;f284;f227;f286;f308;f250;f119;f122;mun
081141;22636.0;5396.0;17027.0;79497.7;585.9;0.0;11.0;14655.0;14117.0;28772.0;4862.0;19195.0;3924.0;791.0;28772.0;17390.0;4885.0;6497.0;6212.0;4887.0;11099.0;1125.0;3574.0;2823.0;2883.0;9280.0;1956.2;9987.0;;10715.0;Martorell
081154;22349.0;5814.0;2645.0;121041.2;926.0;0.0;0.0;2435.0;2385.0;4820.0;685.0;3160.0;826.0;149.0;4820.0;3381.0;1015.0;424.0;1101.0;902.0;2003.0;323.0;1267.0;866.0;903.0;3036.0;302.8;1854.0;;2182.0;Martorelles
430770;13514.0;4005.0;570.0;21352.6;199.7;0.0;0.0;281.0;283.0;564.0;50.0;329.0;155.0;30.0;564.0;479.0;21.0;64.0;131.0;85.0;216.0;65.0;27.0;0.0;0.0;27.0;25.4;256.0;;439.0;Mas de Barberans
171002;19744.0;4360.0;216.0;42157.4;252.9;0.0;0.0;150.0;138.0;288.0;33.0;201.0;45.0;9.0;288.0;213.0;11.0;64.0;81.0;51.0;132.0;36.0;31.0;0.0;0.0;31.0;12.2;106.0;24.0;138.0;Masarac
430786;16783.0;3836.0;1094.0;28965.3;237.5;0.0;0.0;546.0;525.0;1071.0;136.0;669.0;210.0;56.0;1071.0;862.0;99.0;110.0;208.0;179.0;387.0;85.0;68.0;0.0;0.0;68.0;72.5;427.0;;525.0;Masdenverge
081167;23838.0;6593.0;300.0;84593.3;556.6;0.0;0.0;368.0;351.0;719.0;104.0;456.0;135.0;24.0;719.0;619.0;46.0;54.0;171.0;168.0;339.0;73.0;154.0;279.0;0.0;433.0;37.3;275.0;;314.0;Masies de Roda, les
081173;20790.0;4603.0;2063.0;57053.8;384.5;0.0;3.0;1549.0;1583.0;3132.0;429.0;2098.0;500.0;105.0;3132.0;2586.0;354.0;192.0;777.0;694.0;1471.0;276.0;842.0;259.0;5854.0;6955.0;134.5;1138.0;;1330.0;Masies de Voltregà, les
430799;16680.0;3896.0;520.0;52926.9;428.2;0.0;1.0;274.0;231.0;505.0;68.0;336.0;79.0;22.0;505.0;388.0;41.0;76.0;125.0;83.0;208.0;36.0;126.0;0.0;0.0;126.0;32.5;219.0;176.0;442.0;Masllorenç
081189;28154.0;8060.0;15550.0;73872.2;554.0;40.0;140.0;11524.0;12307.0;23831.0;3437.0;15700.0;3910.0;784.0;23831.0;16902.0;3501.0;3428.0;5165.0;4946.0;10111.0;2084.0;2679.0;779.0;414.0;3872.0;1208.1;8837.0;908.0;10366.0;Masnou, el
430803;20542.0;4865.0;227.0;37348.0;242.8;0.0;0.0;148.0;132.0;280.0;39.0;158.0;69.0;14.0;280.0;248.0;21.0;11.0;63.0;51.0;114.0;24.0;7.0;0.0;0.0;7.0;10.5;106.0;27.0;160.0;Masó, la
