id, user_agent, times_seen, simple_software_string, simple_sub_description_string, simple_operating_platform_string, software, software_name, software_name_code, software_version, software_version_full, operating_system, operating_system_name, operating_system_name_code, operating_system_version, operating_system_version_full, operating_system_flavour, operating_system_flavour_code, operating_system_frameworks, operating_platform, operating_platform_code, operating_platform_vendor_name, software_type, software_sub_type, software_type_specific, hardware_type, hardware_sub_type, hardware_sub_sub_type, hardware_type_specific, layout_engine_name, layout_engine_version, extra_info, extra_info_dict, capabilities, detected_addons, first_seen_at, last_seen_at
83,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",119,Chrome 44 on Mac OS X (Yosemite),,,Chrome 44,Chrome,chrome,44,44.0.2403.155,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.3,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2015-08-15 15:23:55.000000,2018-03-14 16:00:32.546975
84,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/7.0),652,Internet Explorer 11 on Windows 7,Internet Explorer 9 Compatibility View,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""10"": [""Internet Explorer 9 Compatibility View""], ""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2015-03-25 00:48:30.000000,2018-11-19 11:11:28.735617
85,"Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4",14747,Safari 8 on iOS 8.2,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.2,iOS,ios,8.2,8.2,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[u'600', u'1', u'4']",{},"{""Mobile Build"": ""12D508""}",[],[],2015-03-11 20:08:56.000000,2018-12-11 21:00:06.637335
86,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2483.0 Safari/537.36",1,Chrome 46 on Mac OS X (Yosemite),,,Chrome 46,Chrome,chrome,46,46.0.2483.0,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.4,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2016-03-13 12:03:27.000000,2016-03-13 12:03:27.000000
87,Mozilla/5.0 (Windows NT 5.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0,4096,Firefox 39 on Windows XP,,,Firefox 39,Firefox,firefox,39,39.0,Windows XP,Windows,windows,XP,NT 5.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,[u'20100101'],"{""20"": [""32 bit compatibility layer""]}",{},[],[],2016-03-13 12:03:27.000000,2018-01-12 04:01:05.667896
88,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; MS-RTC LM 8),12,Internet Explorer 10 on Windows 7,Internet Explorer 7 Compatibility View,,Internet Explorer 10,Internet Explorer,internet-explorer,10,10,Windows 7,Windows,windows,7,NT 6.1,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""4.0"", ""full"": [""4"", ""0C""]}, {""simple"": ""4.0"", ""full"": [""4"", ""0E""]}, {""simple"": ""2.0"", ""full"": [""2"", ""0"", ""50727""]}, {""simple"": ""3.5"", ""full"": [""3"", ""5"", ""30729""]}, {""simple"": ""3.0"", ""full"": [""3"", ""0"", ""30729""]}]}]",,,,browser,web-browser,,computer,,,,Trident,"[u'6', u'0']","{""10"": [""Internet Explorer 7 Compatibility View""], ""20"": [""32 bit compatibility layer"", ""Media Center PC v6.0""]}",{},[],"[""InfoPath XML MIME Filter v3"", ""Live Meeting 2007"", ""Microsoft Windows Security Licensing v2.0""]",2016-03-13 12:03:27.000000,2017-08-15 23:00:31.424246
89,Mozilla/5.0 (Android; Linux armv7l; rv:5.0) Gecko/20110615 Firefox/5.0 Fennec/5.0,35,Fennec 5 on Android,,,Fennec 5,Fennec,fennec,5,5.0,Android,Android,android,,,,,[],,,,browser,web-browser,,mobile,,,,Gecko,[u'20110615'],{},"{""Hardware Architecture"": ""ARM v7L""}",[],[],2016-03-13 12:03:27.000000,2018-03-04 06:22:06.681474
90,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B466 [FBAN/FBIOS;FBAV/37.0.0.21.273;FBBV/13822349;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/8.1.3;FBSS/2; FBCR/fido;FBID/phone;FBLC/fr_FR;FBOP/5]",1,Facebook App 37 on iOS 8.1,,Apple iPhone 5s,Facebook App 37,Facebook App,facebook-app,37,37.0.0.21.273,iOS 8.1,iOS,ios,8.1,8.1.3,,,[],iPhone 5s,,Apple,browser,in-app-browser,,mobile,phone,,,WebKit,"[u'600', u'1', u'4']",{},"{""iPhone Version Full"": ""iPhone 5s GSM"", ""Mobile Build"": ""12B466""}",[],[],2016-03-13 12:03:27.000000,2018-03-04 06:22:06.830965
91,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:40.0) Gecko/20100101 Firefox/40.0 Cyberfox/40.0,3,Firefox 40 on Windows 7,,,Firefox 40,Firefox,firefox,40,40.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,[u'20100101'],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2016-03-13 12:03:27.000000,2018-03-04 06:22:06.963941
92,"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mercury/8.7 Mobile/11B554a Safari/9537.53",2,Mercury Browser 8.7 on iOS 7,,Apple iPad,Mercury Browser 8.7,Mercury Browser,mercury-browser,8.7,8.7,iOS 7,iOS,ios,7,7.0.4,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[u'537', u'51', u'1']",{},"{""Mobile Build"": ""11B554a""}",[],[],2016-03-13 12:03:27.000000,2018-03-04 06:22:07.097037
